the_geom,apn,name,Address,LandmarkNo,YearDesignated,DesignationDocument,Photo,PIMLink
"MULTIPOLYGON (((-122.43047437009602 37.80288018597196, -122.43055980658971 37.8028693086718, -122.43064524668068 37.802858432270966, -122.43059023425184 37.80258729117071, -122.43139885067632 37.802484346675385, -122.43152309111764 37.80310518016006, -122.4315229948902 37.80310740508281, -122.43152289776344 37.80310875766315, -122.43152277095902 37.80311010934423, -122.43152261267835 37.80311145922661, -122.43152242561933 37.803112806411036, -122.43152220978209 37.80311414999818, -122.43152196516644 37.803115491786684, -122.4315216890746 37.80311682907853, -122.43152138510374 37.80311816277316, -122.43152104965662 37.80311949197113, -122.43152068722986 37.803120815773184, -122.43152029422612 37.80312213597796, -122.43151987424272 37.80312344988744, -122.43151942278303 37.80312475570304, -122.43151894524306 37.80312605792136, -122.43151843802542 37.803127352045806, -122.43151790202944 37.803128638975636, -122.43151733815455 37.80312991871091, -122.43151674640063 37.8031311903523, -122.43151612586843 37.803132453000444, -122.43151547835657 37.80313370665539, -122.4315148029657 37.803134952216396, -122.43151410059517 37.80313618698557, -122.43151337214431 37.803137412761544, -122.43151261581448 37.803138628644945, -122.43151183340427 37.80313983283719, -122.43151102311515 37.80314102713686, -122.43151018764496 37.80314220794668, -122.43150932699376 37.8031433797633, -122.43150844026223 37.80314453809012, -122.43150752834964 37.803145683826415, -122.4315065912561 37.80314681697217, -122.43150562808216 37.803147936628136, -122.43150464332456 37.803149043693566, -122.43150363158725 37.80315013636982, -122.43150259736689 37.803151213757644, -122.43150153886484 37.80315227855493, -122.43150045698042 37.803153327164466, -122.43149935261295 37.80315436228415, -122.43149822666174 37.803155381216015, -122.43149707732817 37.80315638306075, -122.4314959073102 37.803157369617054, -122.43149471301052 37.80315834088486, -122.43149349982508 37.80315929506554, -122.43149226595523 37.803160231259824, -122.43149101140096 37.80316115126624, -122.43148973616229 37.80316205328626, -122.4314884420379 37.803162937319826, -122.43148712722905 37.803163803367, -122.4314857944338 37.803164651427664, -122.43148444365204 37.803165479703296, -122.43148307488389 37.80316629089174, -122.43148168812934 37.80316708229515, -122.4314802842876 37.803167853913465, -122.43147886335879 37.80316860664601, -122.43147742624211 37.80316933959347, -122.43147597383705 37.80317005185657, -122.43147450524413 37.80317074523384, -122.43147302136276 37.80317141612812, -122.43147152399155 37.803172068136575, -122.43147001133184 37.803172697662035, -122.43146848518234 37.803173308301666, -122.43146694644236 37.803173897357624, -122.43146539511179 37.80317446393053, -122.43146383119074 37.80317500802033, -122.43146225467922 37.8031755323251, -122.43146066827512 37.803176034146816, -122.43119796821156 37.80324612370981, -122.43113535561207 37.803261383406266, -122.43107983506627 37.80327402067968, -122.4310240438245 37.80328588813336, -122.43096799987319 37.8032969803715, -122.43091172209819 37.803307294696026, -122.4308552248886 37.80331683020768, -122.43079852623089 37.803325579711895, -122.43074164411149 37.80333354320862, -122.43068662988395 37.80306240120899, -122.43051575329929 37.80308415041338, -122.430430312309 37.8030950241162, -122.4304165589769 37.80302723861632, -122.4304028074435 37.80295945401576, -122.43038905321214 37.80289166761651, -122.43038893090437 37.802891063272114, -122.43047437009602 37.80288018597196)))",0471003,Ladies' Protection and Relief Society,3400 Laguna Street,320,2024,https://files.sfplanning.org/documents/preservation/LM320.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/320.jpg,https://sfplanninggis.org/pim?search=0471/003
"MULTIPOLYGON (((-122.43325629424248 37.72694200077285, -122.43355255700482 37.72708360802221, -122.43337452631323 37.72731904154068, -122.43307826085294 37.72717743429132, -122.43325629424248 37.72694200077285)))",6797046,Excelsior Branch Library,4400 MISSION ST,0,0,,,
"MULTIPOLYGON (((-122.43170756725033 37.76383468132565, -122.43194184963659 37.763820506211516, -122.43217899816216 37.76380615572964, -122.43221511223754 37.764182688380515, -122.431971133361 37.76419745165123, -122.43193714977957 37.764199508400736, -122.43174367952707 37.76421121217783, -122.43170756725033 37.76383468132565)))",3564095,Eureka Valley/Harvey Milk Memorial Branch Library,1 JOSE SARRIA CT,0,0,,,
"MULTIPOLYGON (((-122.43037325392243 37.774508771562694, -122.430407416469 37.77450442154196, -122.4304338745236 37.77463595278715, -122.43022889924418 37.7746620556095, -122.43027666853334 37.774899533287, -122.43001191711619 37.77493329293725, -122.42993768167855 37.774564238149196, -122.43003162845679 37.77455227536734, -122.43011703527287 37.77454139986588, -122.43020244208896 37.774530524364366, -122.43037325392243 37.774508771562694)))",0828022A,Sacred Heart Parish Complex,735 FELL ST,316,2024,https://files.sfplanning.org/documents/preservation/LM316.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/316.jpg,https://sfplanninggis.org/pim?search=0828/022A
"MULTIPOLYGON (((-122.4145552700096 37.78402509348342, -122.41442238888203 37.784042040308066, -122.4143747419007 37.783803385418025, -122.4145069746171 37.78378650784123, -122.4145552700096 37.78402509348342)))",,Black Cat Cafe,317 LEAVENWORTH ST,0,0,,,
"MULTIPOLYGON (((-122.43528539320624 37.76237165342923, -122.43528087765893 37.762371376640026, -122.43527647877687 37.76237031993931, -122.43527233021787 37.762368515434396, -122.43526855803378 37.76236601795426, -122.43526527684054 37.76236290338356, -122.43526258633551 37.76235926635697, -122.43526056826833 37.76235521738368, -122.43525928395697 37.76235087948971, -122.43525877242456 37.76234638447977, -122.43525904921377 37.76234186893246, -122.43526010591448 37.7623374700504, -122.4352619104194 37.7623333214914, -122.43526440789954 37.76232954930732, -122.43526752247023 37.762326268114066, -122.43527115949682 37.76232357760903, -122.4352752084701 37.76232155954186, -122.43527954636407 37.76232027523049, -122.43528404137402 37.76231976369809, -122.43528855692134 37.76232004048729, -122.43529295580339 37.76232109718801, -122.43529710436239 37.76232290169292, -122.43530087654648 37.76232539917306, -122.43530415773972 37.76232851374375, -122.43530684824475 37.76233215077035, -122.43530886631193 37.762336199743636, -122.4353101506233 37.762340537637606, -122.4353106621557 37.762345032647545, -122.43531038536649 37.762349548194855, -122.43530932866578 37.76235394707692, -122.43530752416086 37.76235809563592, -122.43530502668072 37.76236186782, -122.43530191211003 37.76236514901325, -122.43529827508344 37.762367839518284, -122.43529422611016 37.762369857585455, -122.43528988821619 37.76237114189682, -122.43528539320624 37.76237165342923)))",N/A,Rainbow Flag at Harvey Milk Plaza,N/A,319,2024,https://sfplanning.org/sites/default/files/documents/preserv/landmarks_designation/LM319.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/319.jpg,
"MULTIPOLYGON (((-122.43080028350619 37.77445439135721, -122.43082674335943 37.7745859226024, -122.4304338745236 37.77463595278715, -122.430407416469 37.77450442154196, -122.43045866073851 37.77449789606118, -122.43080028350619 37.77445439135721)))",0828021,Sacred Heart Parish Complex,546-548 FILLMORE ST,316,2024,https://files.sfplanning.org/documents/preservation/LM316.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/316.jpg,https://sfplanninggis.org/pim?search=0828/021
"MULTIPOLYGON (((-122.43029721804209 37.77413076941963, -122.43037325392243 37.774508771562694, -122.43020244208896 37.774530524364366, -122.43012640620861 37.77415252132192, -122.43029721804209 37.77413076941963)))",0828012,Sacred Heart Parish Complex,660 OAK ST,316,2024,https://files.sfplanning.org/documents/preservation/LM316.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/316.jpg,https://sfplanninggis.org/pim?search=0828/012
"MULTIPOLYGON (((-122.43027666853334 37.774899533287, -122.43022889924418 37.7746620556095, -122.4304338745236 37.77463595278715, -122.43082674335943 37.7745859226024, -122.43087449286344 37.77482329955575, -122.43027666853334 37.774899533287)))",0828022,Sacred Heart Parish Complex,554 FILLMORE ST,316,2024,https://files.sfplanning.org/documents/preservation/LM316.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/316.jpg,https://sfplanninggis.org/pim?search=0828/022
"MULTIPOLYGON (((-122.40069819306706 37.716653681922025, -122.4003040912607 37.716756646202384, -122.40024990800674 37.71662624810301, -122.40064400801447 37.71652328382265, -122.40069819306706 37.716653681922025)))",6194010,San Francisco Fire Station No. 44,1298 Girard ST,317,2024,https://files.sfplanning.org/documents/preservation/LM317.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/229.jpg,https://sfplanninggis.org/pim?search=6194/010
